Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
C2,CP_Radial_Tantal_D5.5mm_P2.50mm,1,C_Polarized,
J1,PinHeader_1x10_P2.54mm_Vertical,1,Nixie_CATHODES,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Nixie_ANODES,
"J3, J4",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"Q1, Q10, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-92_Inline,10,MPSA42,
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,10,10K,
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,16,R,
U1,WEMOS_D1_mini_light,1,WeMos_D1_mini,
"U10, U2, U3",DIP-16_W7.62mm,3,74HC595,
U11,HV_Supply,1,~,
U12,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U4, U5, U6, U7, U8, U9",DIP-4_W7.62mm,6,TLP627,
